serial,location,stream_type,n_observations,best_curve,best_r2,mean_fullness_at_collection,median_elapsed_hours,pct_wasted_trips,fill_pct_at_24h,fill_pct_at_48h,fill_pct_at_72h,coeff_L,coeff_k,coeff_t0,coeff_a,coeff_b
1515733,E08 Cory Hall,Bottles/Cans,8,insufficient_data,,37.5,89.1,50.0,,,,,,,,
1515734,U19 Wheeler Walkway,Bottles/Cans,33,sigmoid,0.3355,60.0,105.8,24.2,0.0,66.5,67.7,67.733819,1.50027,45.360506,,
1515735,U20 Sproul Hall UCPD,Bottles/Cans,23,sigmoid,0.0588,52.2,118.0,30.4,37.4,41.5,45.7,120.0,0.006393,147.971629,,
1515736,W12 VLSB/Campanile Way,Bottles/Cans,16,sigmoid,0.0835,27.5,118.7,68.8,0.0,30.4,31.4,31.428571,0.779643,43.60322,,
1515737,W03 Li Ka Shing Hall,Bottles/Cans,14,sigmoid,0.3412,11.4,96.4,92.9,0.0,0.0,0.0,34.990985,2.0,111.50279,,
1515738,U05 Cesar Chavez,Bottles/Cans,34,sigmoid,0.298,38.2,108.7,52.9,3.4,6.7,13.0,120.0,0.029772,142.905514,,
1515739,U17 Dwinelle Plaza Entry,Bottles/Cans,50,sigmoid,0.0073,66.4,88.0,20.0,61.7,63.4,65.1,120.0,0.002411,1.0,,
1515740,U04 Zellerbach,Bottles/Cans,21,sigmoid,0.5005,29.5,48.8,61.9,9.6,16.1,25.7,96.34071,0.024803,112.75206,,
1515741,E12 Evans Hall Bus Stop,Waste,61,sigmoid,0.3598,21.3,49.0,77.0,6.1,10.7,17.9,59.496819,0.027727,102.536904,,
1515743,E02 North Entrance Memorial Glade,Waste,142,sigmoid,0.105,51.1,48.2,45.1,40.0,53.5,59.5,62.443468,0.050364,12.552574,,
1515744,U13 Bancroft Way,Waste,162,sigmoid,0.4063,61.7,46.9,38.3,41.6,75.1,75.6,75.574391,0.203877,22.994159,,
1515745,W12 VLSB/Campanile Way,Waste,54,sigmoid,0.4313,31.5,72.3,64.8,9.8,17.6,28.3,65.2624,0.030475,80.797322,,
1515746,E23 Glade Path,Waste,112,sigmoid,0.2685,45.9,48.2,47.3,24.8,55.4,61.0,61.483347,0.108271,27.636943,,
1515747,U17 Dwinelle Plaza Entry,Waste,140,sigmoid,-0.0065,63.9,43.0,18.6,61.2,62.5,63.7,120.0,0.001746,1.0,,
1515748,E12 Evans Hall Bus Stop,Compostables,36,sigmoid,0.1244,20.0,99.8,86.1,8.5,11.2,14.6,53.716619,0.014342,140.69151,,
1515749,U07 Cal Book Store,Compostables,178,saturating,0.046,56.9,25.2,30.9,58.1,62.3,62.6,,,,62.667649,0.1091
1515750,E02 North Entrance Memorial Glade,Compostables,83,sigmoid,0.0902,42.9,50.3,54.2,31.3,40.9,48.0,57.245849,0.030323,17.789722,,
1515751,U14 Sproul Hall Steps,Compostables,107,sigmoid,0.1192,39.6,47.8,58.9,30.0,41.0,48.1,54.43546,0.038123,18.690553,,
1515752,E29 Campanile East,Compostables,5,insufficient_data,,12.0,134.8,80.0,,,,,,,,
1515753,U08 MLK Courtyard,Compostables,219,saturating,-0.0099,65.0,22.6,21.9,65.1,65.1,65.1,,,,65.138897,2.0
1515754,E07 Sutardja Dai Hall/Yali's 2,Compostables,21,sigmoid,0.3069,30.5,96.1,66.7,13.5,17.6,22.8,120.0,0.012886,184.425933,,
1515755,U10 GoldenBear Walkway,Compostables,80,saturating,0.0553,49.0,28.5,46.2,47.6,53.0,53.6,,,,53.719188,0.090686
1515756,E06 Sutardja Dali Hall/Yali's 1,Compostables,42,sigmoid,0.1819,52.9,96.8,28.6,36.7,42.3,48.2,120.0,0.008729,117.684057,,
1515757,W12 VLSB/Campanile Way,Compostables,23,sigmoid,0.0486,34.8,75.2,73.9,26.0,29.1,32.4,105.004477,0.006315,200.0,,
1515758,U17 Dwinelle Plaza Entry,Compostables,115,power_law,0.0145,59.0,47.8,25.2,56.7,59.5,61.3,,,,45.281656,0.070756
1515759,U09 MLK Ramp,Compostables,177,sigmoid,0.0131,59.1,24.0,28.2,57.9,60.7,63.5,110.338544,0.004279,1.0,,
1515760,E23 Glade Path,Bottles/Cans,30,sigmoid,0.0274,60.7,96.1,30.0,50.2,53.8,57.4,100.983186,0.006004,26.001689,,
1515761,E05 V&A Cafe/Etcheverry,Bottles/Cans,10,sigmoid,0.2376,36.0,84.5,60.0,0.0,48.3,48.6,48.571429,0.761068,41.23453,,
1515763,E01 California Hall,Bottles/Cans,33,sigmoid,0.1508,41.2,118.6,48.5,15.5,25.1,35.9,61.064796,0.029863,60.022153,,
1515764,E29 Campanile East,Bottles/Cans,15,power_law,-0.0,37.3,71.9,53.3,37.3,37.3,37.3,,,,37.333332,0.0
1515765,E02 North Entrance Memorial Glade,Bottles/Cans,23,sigmoid,0.1671,46.1,91.4,47.8,9.1,23.5,41.4,57.758266,0.054456,54.878269,,
1515766,E07 Sutardja Dai Hall/Yali's 2,Bottles/Cans,1,insufficient_data,,20.0,146.1,100.0,,,,,,,,
1515767,U08 MLK Courtyard,Bottles/Cans,70,sigmoid,0.3961,58.6,64.6,30.0,25.6,60.9,74.1,76.475348,0.085593,32.055766,,
1515769,U12 Upper MLK Union,Bottles/Cans,52,sigmoid,0.4425,55.0,76.1,36.5,0.0,33.0,69.2,69.21459,2.0,48.045223,,
1515770,U10 Golden Bear Walkway,Bottles/Cans,38,sigmoid,0.4403,59.5,71.0,34.2,0.0,79.4,79.6,79.62968,2.0,45.090261,,
1515771,E12 Evans Hall Bus Stop,Bottles/Cans,10,sigmoid,0.433,30.0,89.6,60.0,0.0,0.0,11.8,49.987776,2.0,72.588463,,
1515772,U06 Bear's Lair,Bottles/Cans,40,sigmoid,0.1845,40.5,87.7,50.0,21.5,30.7,40.1,63.743355,0.025108,50.9114,,
1515773,U07 Cal Book Store,Bottles/Cans,73,sigmoid,0.3701,56.7,71.6,31.5,8.9,65.4,69.3,69.288142,0.198025,33.68817,,
1515775,U18 Dwinelle Walkway,Bottles/Cans,46,sigmoid,0.1215,59.6,95.7,26.1,21.0,45.5,60.7,66.865452,0.064017,36.22366,,
1515776,E06 Sutardja Dali Hall/Yali's 1,Bottles/Cans,6,insufficient_data,,13.3,88.2,83.3,,,,,,,,
1515777,U14 Sproul Hall Steps,Bottles/Cans,53,sigmoid,0.2835,60.8,93.6,22.6,24.3,47.6,65.0,75.736495,0.053197,38.118172,,
1515778,U15 Sather Gate,Bottles/Cans,65,sigmoid,0.0988,65.8,92.2,20.0,39.6,57.0,67.2,74.280367,0.044034,20.927262,,
1515779,U13 Bancroft Way,Bottles/Cans,72,saturating,0.2952,60.8,88.0,27.8,26.1,45.2,59.2,,,,97.479849,0.012979
1515780,U09 MLK Ramp,Waste,132,logarithmic,0.0929,48.3,27.4,43.9,43.7,52.8,58.2,,,,13.541163,1.011343
1515783,U05 Cesar Chavez,Waste,119,sigmoid,0.1244,51.6,46.4,44.5,42.7,51.3,58.3,73.587872,0.021135,8.62755,,
1515784,U19 Wheeler Walkway,Compostables,82,sigmoid,0.4551,50.5,58.4,31.7,21.2,60.4,60.8,60.754538,0.239584,26.609339,,
1515785,U02 Spieker Plaza Center,Compostables,41,sigmoid,0.14,43.9,117.4,41.5,28.4,32.8,37.6,120.0,0.008116,168.503428,,
1515786,U15 Sather Gate,Compostables,109,sigmoid,0.0842,51.9,47.8,44.0,43.4,53.9,58.6,61.107,0.046758,4.857296,,
1515787,E01 California Hall,Compostables,74,sigmoid,0.2928,26.2,69.3,85.1,4.7,19.6,35.0,40.056709,0.082199,48.488567,,
1515789,E15 Bancroft Library,Compostables,41,sigmoid,0.2447,35.6,95.6,58.5,13.9,28.4,40.0,47.498048,0.053343,40.549932,,
1515790,U12 Upper MLK Union,Compostables,123,sigmoid,0.2751,54.0,48.0,49.6,41.6,64.4,64.6,64.615319,0.20473,21.096106,,
1515791,U05 Cesar Chavez,Compostables,119,power_law,0.0142,61.3,42.8,21.0,59.2,61.9,63.5,,,,48.249304,0.064398
1515817,U11 Golden Bear Cafe Entry,Compostables,114,linear,0.0,0.0,20.5,100.0,0.0,0.0,0.0,,,,0.0,
1515818,U04 Zellerbach,Compostables,107,sigmoid,0.1172,41.3,46.4,52.3,32.1,44.8,51.2,54.932512,0.047566,16.842025,,
1516524,U30 Birge Path,Bottles/Cans,27,sigmoid,0.0925,51.1,119.1,37.0,27.0,33.9,41.3,84.019071,0.014855,74.211381,,
1516527,U28 Wheeler,Bottles/Cans,31,sigmoid,0.2547,25.2,98.2,71.0,0.0,0.0,0.0,43.749741,1.997311,94.092319,,
1516528,E31 South Hall Rd. Near Clock Tower,Bottles/Cans,17,power_law,-0.0,32.9,118.4,58.8,32.9,32.9,32.9,,,,32.941176,0.0
1516529,E27 Coffee Lab,Bottles/Cans,6,insufficient_data,,66.7,62.1,16.7,,,,,,,,
1516530,U33 Spieker Plaza,Bottles/Cans,44,sigmoid,0.0051,35.0,71.4,59.1,31.8,33.3,34.8,86.446945,0.00308,200.0,,
1516531,W17 Mulford Hall,Bottles/Cans,54,saturating,-0.0659,74.4,60.7,24.1,74.7,74.7,74.7,,,,74.720075,2.0
1516533,W15 Koshland,Bottles/Cans,18,power_law,-0.0,26.7,77.9,72.2,26.7,26.7,26.7,,,,26.666667,0.0
1516534,U32 HFA / Hearst Gym - West Side,Bottles/Cans,10,power_law,-0.0,28.0,106.3,60.0,28.0,28.0,28.0,,,,28.0,0.0
1516535,West Circle,Bottles/Cans,22,saturating,0.0274,50.0,94.0,36.4,36.7,47.9,51.3,,,,52.850194,0.049357
1516537,U30 Birge Path,Compostables,95,sigmoid,0.2774,32.0,56.7,62.1,12.8,25.4,38.5,53.276334,0.043862,50.18101,,
1516538,U28 Wheeler,Compostables,32,logarithmic,0.2174,37.5,95.7,62.5,17.0,27.2,34.6,,,,26.219746,0.038023
1516539,W15 Koshland,Compostables,46,sigmoid,0.3908,55.7,95.1,26.1,22.5,58.9,60.7,60.751172,0.166974,27.194655,,
1516541,E31 South Hall Rd. Near Clock Tower,Compostables,27,power_law,-0.0,24.4,73.0,74.1,24.4,24.4,24.4,,,,24.444444,0.0
1516542,E27 Coffee Lab,Compostables,17,sigmoid,0.1536,50.6,144.2,29.4,28.4,36.7,44.1,61.038544,0.022943,30.142773,,
1516544,U33 Spieker Plaza,Compostables,27,sigmoid,0.3748,28.9,73.4,70.4,9.3,13.8,20.1,120.0,0.018101,160.744746,,
1516545,U32 HFA / Hearst Gym - West Side,Compostables,30,logarithmic,0.066,28.0,94.4,80.0,13.7,20.8,25.6,,,,14.991562,0.062489
1516546,West Circle,Compostables,24,saturating,0.3236,26.7,75.4,75.0,8.9,17.2,24.7,,,,114.24638,0.00339
1516547,E31 South Hall Rd. Near Clock Tower,Waste,56,sigmoid,0.4232,22.5,52.6,75.0,5.6,14.9,28.2,43.74095,0.052286,60.684755,,
1516548,W17 Mulford Hall,Waste,67,saturating,0.4678,46.6,72.2,37.3,19.3,35.0,47.7,,,,102.25482,0.008727
